Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,lat,long
Bengtsfors,,2014-06-17,  Tjänligt,,  18,2,0,0
Bengtsfors,,2014-07-15,  Tjänligt,,  20,3,0,0
Bengtsfors,,2014-08-05,  Tjänligt,,  21,5,0,0
Orsa,Orsasjön, Strandbadet,2014-06-12,  Tjänligt m. Anm.,,  18,1,0,0
Orsa,Orsasjön, Strandbadet,2014-07-08,  Tjänligt,,  19,0,0
Orsa,Orsasjön, Strandbadet,2014-07-29,  Tjänligt,,  23,6,0,0
Strängnäs,Abborrberget,2014-06-10,  Tjänligt,,  17,0,0
Strängnäs,Abborrberget,2014-07-08,  Tjänligt,,  19,0,0
Strängnäs,Abborrberget,2014-08-05,  Tjänligt,,  22,0,0
Olofström,Abborrsjön,2014-06-04,  Tjänligt,  2,2,  19,0,0
Olofström,Abborrsjön,2014-06-26,  Tjänligt,,  19,8,0,0
Olofström,Abborrsjön,2014-07-17,  Tjänligt,  2,1,  22,8,0,0
Olofström,Abborrsjön,2014-08-07,  Tjänligt,  2,5,  22,8,0,0
Forshaga,Abborrtjärn,2014-06-17,  Tjänligt,  > 2,  22,0,0
Forshaga,Abborrtjärn,2014-07-07,  Tjänligt,  > 2,  23,0,0
Forshaga,Abborrtjärn,2014-07-29,  Tjänligt,  > 2,  27,5,0,0
Vindeln,Abborrtjärn,2014-07-07,  Tjänligt,  > 3,  17,0,0
Filipstad,Abbortjärn,2014-06-19,  Tjänligt,,  18,6,0,0
Filipstad,Abbortjärn,2014-07-09,  Tjänligt,,  25,0,0
Filipstad,Abbortjärn,2014-07-30,  Tjänligt,,  0,0,0
Alvesta,Agnasjön, Agnaryds badplats,2014-06-10,  Tjänligt,,  21,0,0
Alvesta,Agnasjön, Agnaryds badplats,2014-07-01,  Tjänligt,,  18,0,0
Alvesta,Agnasjön, Agnaryds badplats,2014-07-22,  Tjänligt,,  24,0,0
Ljungby,Agunnarydsjön,2014-06-17,  Tjänligt,,  19,6,0,0
Ljungby,Agunnarydsjön,2014-07-15,  Tjänligt,,  19,9,0,0
Gnosjö,Albosjön,2014-06-10,  Tjänligt,,  22,3,0,0
Tyresö,Albybadet,2014-06-18,  Tjänligt,  < 2,  17,0,0
Tyresö,Albybadet,2014-07-15,  Tjänligt,  < 2,  22,0,0
Tyresö,Albybadet,2014-08-13,  Tjänligt m. Anm.,  < 1,  22,0,0
