Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,Lat,Long,ID
Alvesta,Agnasjön, Agnaryds badplats,2014-06-10,  Tjänligt,,  21,0,0,1
Alvesta,Agnasjön, Agnaryds badplats,2014-07-01,  Tjänligt,,  18,0,0,2
Alvesta,Agnasjön, Agnaryds badplats,2014-07-22,  Tjänligt,,  24,0,0,3
Aneby,Anebysjön,2014-06-17,  Tjänligt,  > 0,5,  17,1,0,0,4
Aneby,Anebysjön,2014-07-15,  Otjänligt,  > 0,5,  20,7,0,0,5
Aneby,Anebysjön,2014-07-29,  Tjänligt,  > 0,5,  25,9,0,0,6
Aneby,Anebysjön,2014-08-25,  Tjänligt,  > 0,5,  14,9,0,0,7
Alingsås,Anten, Gräfsnäs slottspark,2014-06-10,  Tjänligt,,  19,0,0,8
Alingsås,Anten, Gräfsnäs slottspark,2014-07-01,  Tjänligt,,  17,0,0,9
Alingsås,Anten, Gräfsnäs slottspark,2014-07-22,  Tjänligt,,  21,0,0,10
Alingsås,Anten, Gräfsnäs slottspark,2014-08-12,  Tjänligt,,  20,0,0,11
Alingsås,Anten, Looviken,2014-06-10,  Tjänligt,,  18,0,0,12
Alingsås,Anten, Looviken,2014-07-01,  Tjänligt m. Anm.,,  17,0,0,13
Alingsås,Anten, Looviken,2014-07-22,  Tjänligt,,  19,0,0,14
Alingsås,Anten, Looviken,2014-08-12,  Tjänligt,,  21,0,0,15
Alingsås,Anten, Vängaviken,2014-06-10,  Tjänligt,,  18,0,0,16
Alingsås,Anten, Vängaviken,2014-07-01,  Tjänligt,,  16,0,0,17
Alingsås,Anten, Vängaviken,2014-07-22,  Tjänligt,,  22,0,0,18
Alingsås,Anten, Vängaviken,2014-08-12,  Tjänligt m. Anm.,,  19,0,0,19
Alingsås,Antens södra strand,2014-06-10,  Tjänligt,,  17,0,0,20
Alingsås,Antens södra strand,2014-07-01,  Tjänligt,,  17,0,0,21
Alingsås,Antens södra strand,2014-07-22,  Tjänligt,,  23,0,0,22
Alingsås,Antens södra strand,2014-08-12,  Tjänligt,,  20,0,0,23
Askersund,Aspa badplats, Vättern,2014-06-24,  Tjänligt,,  16,6,0,0,24
Askersund,Aspa badplats, Vättern,2014-07-30,  Tjänligt m. Anm.,,  24,1,0,0,25
Aneby,Assjön,2014-06-17,  Tjänligt,  > 1,5,  16,7,0,0,26
Aneby,Assjön,2014-07-15,  Tjänligt,,  19,3,0,0,27
Aneby,Assjön,2014-08-25,  Tjänligt,  > 1,2,  15,8,0,0,28
Arvidsjaur,Auktsjaur,2014-07-28,  Tjänligt,,  21,0,0,29
Alvesta,Bohult,2014-06-10,  Tjänligt,,  22,1,0,0,30
Alvesta,Bohult,2014-07-01,  Tjänligt,,  20,0,0,31
Alvesta,Bohult,2014-07-22,  Tjänligt,,  23,0,0,32
Askersund,Borgmästarholmen,2014-06-26,  Tjänligt,,  20,0,0,33
Askersund,Borgmästarholmen,2014-07-09,  Tjänligt,,  22,3,0,0,34
Askersund,Borgmästarholmen,2014-08-01,  Tjänligt m. Anm.,,  23,7,0,0,35
Askersund,Borgmästarholmen,2014-08-14,  Tjänligt,,  21,0,0,36
Avesta,Buskasjön,2014-07-08,  Tjänligt,,  21,0,0,37
Arvidsjaur,Camp Geilas strandbad,2014-07-28,  Tjänligt,,  24,0,0,38
Alvesta,Dansjön,2014-06-10,  Tjänligt,,  22,0,0,39
Alvesta,Dansjön,2014-07-01,  Tjänligt,,  20,0,0,40
Alvesta,Dansjön,2014-07-22,  Tjänligt,,  23,0,0,41
Askersund,Estabosjön,2014-06-24,  Tjänligt,,  18,8,0,0,42
Askersund,Estabosjön,2014-07-09,  Tjänligt,,  25,2,0,0,43
Askersund,Estabosjön,2014-07-30,  Tjänligt m. Anm.,,  23,3,0,0,44
Avesta,Falkudden,2014-06-11,  Tjänligt,,  17,0,0,45
Avesta,Falkudden,2014-07-10,  Tjänligt,,  21,0,0,46
Avesta,Falkudden,2014-08-07,  Tjänligt,,  22,6,0,0,47
Alingsås,Gerdsken, Kabelbadet,2014-06-10,  Tjänligt,,  21,0,0,48
Alingsås,Gerdsken, Kabelbadet,2014-07-01,  Tjänligt m. Anm.,,  18,0,0,49
Alingsås,Gerdsken, Kabelbadet,2014-07-22,  Tjänligt,,  23,0,0,50
Alingsås,Gerdsken, Kabelbadet,2014-08-12,  Tjänligt,,  20,0,0,51
Alingsås,Gerdsken, Linnebäck,2014-06-10,  Tjänligt,,  21,0,0,52
Alingsås,Gerdsken, Linnebäck,2014-07-01,  Tjänligt,,  18,0,0,53
Alingsås,Gerdsken, Linnebäck,2014-07-22,  Tjänligt,,  22,0,0,54
Alingsås,Gerdsken, Linnebäck,2014-08-12,  Tjänligt,,  20,0,0,55
Arvika,Glafsfjorden, Bergsviken,2014-07-09,  Tjänligt,,  22,1,0,0,56
Arvika,Glafsfjorden, Hungvik,2014-07-09,  Tjänligt,,  21,2,0,0,57
Arvika,Glafsfjorden, Ingestrand,2014-06-17,  Tjänligt,,  13,3,0,0,58
Arvika,Glafsfjorden, Ingestrand,2014-07-09,  Tjänligt,,  20,6,0,0,59
Arvika,Glafsfjorden, Ingestrand,2014-07-30,  Tjänligt,,  25,5,0,0,60
Arvika,Glafsfjorden, Klässbol,2014-07-09,  Tjänligt,,  17,3,0,0,61
Arvika,Glafsfjorden, Körselviken,2014-06-17,  Tjänligt,,  14,4,0,0,62
Arvika,Glafsfjorden, Körselviken,2014-07-09,  Tjänligt,,  22,3,0,0,63
Arvika,Gunnern Gravås,2014-06-25,  Tjänligt,,  17,3,0,0,64
Arvika,Gunnern Årbotten,2014-06-25,  Tjänligt,,  17,8,0,0,65
Askersund,Hagabadet, Alsen,2014-06-26,  Tjänligt,,  20,0,0,66
Askersund,Hagabadet, Alsen,2014-07-09,  Tjänligt,,  22,3,0,0,67
Askersund,Hagabadet, Alsen,2014-07-29,  Tjänligt,,  26,8,0,0,68
Askersund,Hagabadet, Alsen,2014-08-14,  Tjänligt,,  21,6,0,0,69
Avesta,Halsjön,2014-06-11,  Tjänligt,,  20,0,0,70
Avesta,Halsjön,2014-07-10,  Tjänligt,,  23,0,0,71
Avesta,Halsjön,2014-08-07,  Tjänligt,,  23,0,0,72
Arvika,Hammartjärn,2014-07-09,  Tjänligt,,  23,9,0,0,73
Askersund,Hargebaden, Vättern,2014-06-10,  Tjänligt,,  17,4,0,0,74
Askersund,Hargebaden, Vättern,2014-06-24,  Tjänligt,,  12,0,0,75
Askersund,Hargebaden, Vättern,2014-07-09,  Tjänligt,,  19,6,0,0,76
Askersund,Hargebaden, Vättern,2014-07-30,  Tjänligt m. Anm.,,  23,4,0,0,77
Alvesta,Hjortsberga,2014-06-10,  Tjänligt,  0,5,  23,0,0,78
Alvesta,Hjortsberga,2014-07-01,  Tjänligt,,  20,0,0,79
Alvesta,Hjortsberga,2014-07-22,  Tjänligt,,  25,0,0,80
Avesta,Holmen,2014-06-11,  Tjänligt,,  17,0,0,81
Avesta,Holmen,2014-07-10,  Tjänligt,,  19,0,0,82
Avesta,Holmen,2014-07-16,  Tjänligt m. Anm.,,  20,0,0,83
Avesta,Holmen,2014-07-22,  Otjänligt,,  21,0,0,84
Avesta,Holmen,2014-07-24,  Tjänligt m. Anm.,,  22,0,0,85
Avesta,Holmen,2014-07-29,  Tjänligt m. Anm.,,  23,0,0,86
Avesta,Holmen,2014-07-31,  Tjänligt,,  23,0,0,87
